Year,Value,Series
2020,94.3638,"Proportion of schools with access to basic drinking water, by education level (%) - LOWSEC"
2021,95.03,"Proportion of schools with access to basic drinking water, by education level (%) - LOWSEC"
2022,94.7113,"Proportion of schools with access to basic drinking water, by education level (%) - LOWSEC"
2024,96.399,"Proportion of schools with access to basic drinking water, by education level (%) - LOWSEC"
2014,69.22,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2019,78.3042,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2020,79.5262,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2021,80.7635,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2022,82.657,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2023,80.2893,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2024,85.4754,"Proportion of schools with access to basic drinking water, by education level (%) - PRIMAR"
2019,94.3359,"Proportion of schools with access to basic drinking water, by education level (%) - UPPSEC"
2020,98.5889,"Proportion of schools with access to basic drinking water, by education level (%) - UPPSEC"
2021,97.2072,"Proportion of schools with access to basic drinking water, by education level (%) - UPPSEC"
2022,98.7331,"Proportion of schools with access to basic drinking water, by education level (%) - UPPSEC"
2024,99.1667,"Proportion of schools with access to basic drinking water, by education level (%) - UPPSEC"
2019,42.3894,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2020,34.2076,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2021,60.9503,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2022,64.7599,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2023,79.9878,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2024,64.8662,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - LOWSEC"
2019,12.9363,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2020,13.757,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2021,28.387,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2022,26.5878,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2023,26.6104,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2024,27.7703,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - PRIMAR"
2019,46.3291,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SECOND"
2020,44.0981,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SECOND"
2021,64.2639,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SECOND"
2022,68.2252,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SECOND"
2024,67.2693,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SECOND"
2019,53.0273,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - UPPSEC"
2020,60.7714,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - UPPSEC"
2021,69.7297,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - UPPSEC"
2022,73.6487,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - UPPSEC"
2024,75.5,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - UPPSEC"
2024,74.5499,"Proportion of schools with access to single-sex basic sanitation, by education level (%) - LOWSEC"
2021,63.3608,"Proportion of schools with access to single-sex basic sanitation, by education level (%) - PRIMAR"
2023,30.6621,"Proportion of schools with access to single-sex basic sanitation, by education level (%) - PRIMAR"
2024,64.1893,"Proportion of schools with access to single-sex basic sanitation, by education level (%) - PRIMAR"
2024,80.3333,"Proportion of schools with access to single-sex basic sanitation, by education level (%) - UPPSEC"
2020,36.4397,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - LOWSEC"
2021,42.4358,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - LOWSEC"
2023,50.7956,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - LOWSEC"
2024,97.2749,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - LOWSEC"
2020,33.2889,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - PRIMAR"
2021,34.796,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - PRIMAR"
2023,35.6482,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - PRIMAR"
2024,96.4404,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - PRIMAR"
2020,42.0508,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - UPPSEC"
2021,29.5495,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - UPPSEC"
2024,98.0,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%) - UPPSEC"
